codigo_postal,municipio_id
00043,431107
00085,490646
00633,260051
01001,010590
01002,010590
01003,010590
01004,010590
01005,010590
01006,010590
01007,010590
01008,010590
01009,010590
01010,010590
01012,010284
01012,010590
01013,010590
01015,010590
01110,010170
01117,010170
01117,010565
01118,010164
01118,010301
01118,091097
01120,010376
01121,010148
01128,010164
01128,010170
01128,010376
01129,010376
01130,010632
01138,010186
01139,010632
01160,010035
01165,010035
01169,010035
01170,010587
01171,010587
01191,010590
01191,019015
01192,010210
01192,010590
01193,010014
01193,010210
01193,010278
01193,010590
01194,010164
01194,010590
01195,010590
01195,019015
01196,010186
01196,010590
01200,010513
01206,010133
01206,010278
01207,010278
01207,010513
01207,010534
01208,010091
01208,010133
01208,010534
01208,010611
01211,010066
01211,010148
01211,010301
01211,010442
01211,091097
01212,010148
01212,010284
01212,010442
01212,010626
01213,010468
01213,010474
01213,019020
01216,010164
01216,010442
01220,010066
01220,010148
01220,010468
01220,010474
01230,019015
01240,010014
01250,010091
01260,010091
01300,010318
01306,010339
01307,010112
01307,010528
01307,010571
01308,010199
01308,010318
01308,010323
01309,010231
01309,010318
01309,010344
01309,010416
01320,010437
01321,010318
01322,010395
01322,010437
01322,010604
01330,010284
01340,010225
01400,010360
01408,010105
01409,010421
01420,010468
01423,010468
01423,010493
01423,010552
01423,019020
01426,010468
01426,010493
01426,010552
01427,010552
01427,090503
01427,091926
01428,010468
01428,010552
01428,019015
01430,010203
01439,010203
01440,010549
01449,010549
01450,010029
01450,010549
01450,010632
01468,010029
01470,010029
01470,010105
01474,010040
01476,010105
01477,010105
01478,010040
01478,010105
01479,010105
01510,010088
01510,010587
01510,010590
01520,010088
01520,010590
01830,101894
01857,100036
02001,020030
02002,020030
02003,020030
02004,020030
02005,020030
02006,020030
02008,020030
02013,020595
02049,020030
02071,020030
02099,020030
02099,029010
02100,020735
02110,020352
02120,020609
02124,020061
02124,020117
02124,020447
02125,020117
02126,020117
02127,020609
02128,020061
02128,020609
02129,020637
02130,020175
02136,020582
02137,020582
02138,020175
02138,020595
02139,020117
02139,020175
02140,020030
02141,020637
02142,020447
02142,020637
02150,020753
02151,020215
02152,020024
02153,020208
02154,020642
02154,020833
02155,020030
02156,020292
02160,020432
02161,020432
02162,020387
02170,210139
02200,020241
02210,020077
02211,020077
02212,020236
02213,020138
02213,020772
02214,020077
02214,020138
02215,020058
02215,020827
02220,020523
02230,020450
02236,020788
02240,020463
02246,020544
02247,020267
02248,020411
02249,020349
02249,020411
02249,020668
02250,020019
02251,020349
02253,020365
02260,020349
02270,020791
02300,020083
02310,020851
02311,020621
02312,020083
02313,020595
02314,020083
02314,020479
02314,020595
02315,020766
02316,020707
02320,020122
02326,020714
02327,020655
02328,020030
02329,020220
02330,020083
02331,020680
02332,020680
02340,020680
02350,020805
02360,020169
02395,290516
02400,020371
02409,020371
02410,020447
02410,090183
02420,020371
02430,020306
02434,020426
02435,020729
02436,020313
02437,020729
02439,020306
02440,020498
02448,020175
02448,020498
02449,020306
02449,020498
02450,020674
02459,020674
02460,020848
02461,020289
02462,020674
02462,020848
02470,020306
02480,020864
02482,020864
02484,020864
02485,020864
02486,020864
02487,020864
02488,020864
02489,020864
02490,020371
02498,020371
02499,020371
02500,020740
02510,020292
02510,029010
02511,020030
02512,020030
02513,020740
02514,020740
02520,020292
02529,020292
02530,020557
02534,020557
02535,020557
02536,020557
02537,020557
02538,020557
02539,020557
02600,020812
02610,020194
02611,020576
02612,020539
02612,020812
02614,020143
02620,020485
02630,020693
02636,020788
02636,160604
02637,020328
02638,020501
02639,020156
02639,020693
02640,020096
02650,020518
02651,020334
02652,020560
02653,020045
02660,020254
02660,020812
02690,020100
02690,020390
02691,020181
02692,020292
02692,020616
02693,020273
02693,020616
02694,020390
02695,020292
02696,020404
02999,020117
03001,030149
03002,030149
03003,030149
03004,030149
03005,030149
03006,030149
03007,030149
03008,030149
03009,030149
03010,030149
03011,030149
03012,030149
03013,030149
03014,030149
03015,030149
03016,030149
03100,030839
03108,031323
03109,031297
03110,030909
03111,030469
03112,030149
03113,030149
03113,030651
03114,030149
03115,030149
03119,030993
03130,031210
03138,030149
03139,030651
03140,030762
03150,030648
03158,030553
03158,030591
03159,030612
03160,030152
03169,030128
03170,031133
03176,030128
03177,030627
03177,030703
03177,031186
03178,030345
03179,030152
03179,030703
03181,031339
03182,031339
03183,031339
03184,031339
03185,031035
03185,031339
03186,031339
03187,039037
03188,031339
03189,030993
03190,030993
03190,039021
03191,039021
03193,031203
03194,030651
03195,030651
03201,030651
03202,030651
03203,030651
03204,030651
03205,030651
03206,030651
03207,030651
03208,030651
03290,030651
03291,030651
03292,030651
03293,030651
03294,030651
03295,030651
03296,030651
03300,030993
03310,030801
03311,030993
03312,030993
03313,030993
03314,030993
03315,030993
03316,030250
03316,030993
03317,030494
03317,030993
03319,030993
03320,030651
03321,030993
03322,030993
03325,030993
03330,030591
03339,030591
03340,030054
03348,030746
03349,039042
03350,030588
03360,030494
03369,030993
03369,031091
03370,031112
03380,030443
03380,030993
03390,030247
03400,031409
03408,031409
03409,030149
03409,030529
03409,031164
03409,031409
03410,030438
03420,030535
03430,030968
03440,030797
03450,030211
03460,030232
03469,030232
03469,030514
03501,030319
03502,030319
03503,030319
03509,030699
03510,030481
03516,030377
03517,030279
03517,030330
03517,030572
03517,030759
03518,030456
03518,031278
03520,031072
03530,030942
03540,030149
03550,030149
03550,031199
03559,030149
03560,030507
03569,030041
03570,031395
03578,031127
03579,030980
03579,031246
03580,030113
03581,030113
03590,030187
03599,030187
03600,030664
03610,031040
03630,031231
03638,031164
03639,031409
03640,030895
03649,030895
03650,031053
03657,031053
03657,300434
03658,031053
03658,031164
03659,031053
03660,030937
03660,350141
03668,030134
03669,031148
03670,030882
03679,030882
03680,030190
03688,030778
03689,030778
03689,030784
03689,030993
03690,031225
03698,030020
03699,030149
03700,030633
03709,030633
03710,030475
03720,030417
03723,030067
03724,031284
03725,031284
03726,030422
03727,030818
03728,030067
03729,030857
03729,031259
03730,030823
03737,030823
03738,030823
03739,030823
03740,030710
03749,030633
03750,031014
03759,030067
03759,030263
03759,030302
03760,030955
03769,030400
03769,031105
03769,031170
03770,030633
03770,031382
03778,030263
03779,030633
03779,039016
03780,030633
03780,031029
03780,031105
03786,030015
03787,031360
03788,031344
03788,031360
03789,031357
03790,030974
03791,030974
03791,031376
03792,030916
03792,030974
03792,031007
03793,030540
03794,030298
03795,030974
03795,031151
03795,031318
03800,030092
03801,030092
03802,030092
03803,030092
03804,030092
03810,030358
03811,030605
03811,030731
03812,030204
03812,030396
03812,030860
03813,030670
03813,030686
03813,031301
03814,030089
03814,030226
03815,031035
03816,030324
03818,030092
03819,030092
03820,030566
03827,030165
03827,030361
03827,030383
03828,031066
03829,030171
03829,030566
03830,030921
03837,030036
03838,030106
03839,030921
03840,030725
03841,030073
03850,030285
03860,030844
03870,030566
04001,040139
04002,040139
04003,040139
04004,040139
04005,040139
04006,040139
04007,040139
04008,040139
04009,040139
04100,040669
04110,040669
04113,040669
04114,040600
04114,040669
04115,040669
04116,040669
04117,040669
04118,040669
04119,040669
04120,040139
04130,040139
04131,040139
04140,040329
04149,040329
04149,040669
04149,040865
04150,040139
04151,040669
04160,040139
04200,040887
04210,040600
04211,040600
04211,040887
04211,040947
04212,040335
04212,040681
04212,040979
04213,040828
04230,040524
04240,041019
04248,040865
04250,040741
04259,040741
04260,040789
04270,040865
04271,040596
04271,040865
04274,040274
04274,040904
04274,040950
04275,040904
04275,040926
04276,040097
04276,040268
04276,040274
04277,040865
04277,040932
04278,040865
04279,040865
04279,040904
04279,040950
04280,040486
04288,040221
04288,040486
04289,040221
04289,040486
04289,040865
04400,040118
04409,040123
04409,040519
04410,040242
04420,040813
04430,040558
04431,040545
04440,040773
04450,040307
04450,040502
04458,040144
04458,040237
04458,040715
04459,040675
04460,040464
04470,040577
04479,040209
04479,040464
04479,040736
04480,040078
04500,040451
04510,040010
04520,040025
04530,049011
04531,040059
04532,049011
04533,040025
04540,040656
