"id","name","category_type"
"__export__.category_1","H1","Hoteles"
"__export__.category_2","H2","Hoteles"
"__export__.category_3","H3","Hoteles"
"__export__.category_4","H4","Hoteles"
"__export__.category_5","H5","Hoteles"
"__export__.category_6","AP","Hoteles-apartamentos"
"__export__.category_7","HA","Hoteles-apartamentos"
"__export__.category_8","HA1","Hoteles-apartamentos"
"__export__.category_9","HA2","Hoteles-apartamentos"
"__export__.category_10","HA3","Hoteles-apartamentos"
"__export__.category_11","HA4","Hoteles-apartamentos"
"__export__.category_12","HA5","Hoteles-apartamentos"
"__export__.category_13","HR","Hoteles-residencias"
"__export__.category_14","HR1","Hoteles-residencias"
"__export__.category_15","HR2","Hoteles-residencias"
"__export__.category_16","HR3","Hoteles-residencias"
"__export__.category_17","HR4","Hoteles-residencias"
"__export__.category_18","HR5","Hoteles-residencias"
"__export__.category_19","M1","Moteles"
"__export__.category_20","M2","Moteles"
"__export__.category_21","M3","Moteles"
"__export__.category_22","PN3","Paradores Nacionales"
"__export__.category_23","PN4","Paradores Nacionales"
"__export__.category_24","PN5","Paradores Nacionales"
"__export__.category_25","CV1","Ciudades de vacaciones"
"__export__.category_26","CV2","Ciudades de vacaciones"
"__export__.category_27","CV3","Ciudades de vacaciones"
"__export__.category_28","RA1","Residencias-apartamentos"
"__export__.category_29","RA2","Residencias-apartamentos"
"__export__.category_30","RA3","Residencias-apartamentos"
"__export__.category_31","RA4","Residencias-apartamentos"
"__export__.category_32","HS","Hostales"
"__export__.category_33","HS1","Hostales"
"__export__.category_34","HS2","Hostales"
"__export__.category_35","HS3","Hostales"
"__export__.category_36","HSR","Hostales"
"__export__.category_37","HSR1","Hostales"
"__export__.category_38","HSR2","Hostales"
"__export__.category_39","HSR3","Hostales"
"__export__.category_40","HSE","Hostales generales"
"__export__.category_41","HSG","Hostales especiales"
"__export__.category_42","CH","Casas de Huéspedes"
"__export__.category_43","CH1","Casas de Huéspedes"
"__export__.category_44","F1","Fondas"
"__export__.category_45","F2","Fondas"
"__export__.category_46","F3","Fondas"
"__export__.category_47","P","Pensiones"
"__export__.category_48","P1","Pensiones"
"__export__.category_49","P2","Pensiones"
"__export__.category_50","P3","Pensiones"
"__export__.category_51","PA","Pensiones"
"__export__.category_52","PT","Pensiones"
"__export__.category_53","Otras","Otros"
