"id","code","name"
"__export__.code_ine_1","AFG","Afganistán"
"__export__.code_ine_2","ALB","Albania"
"__export__.code_ine_3","DEU","Alemania"
"__export__.code_ine_4","AND","Andorra"
"__export__.code_ine_5","AGO","Angola"
"__export__.code_ine_6","AIA","Anguila"
"__export__.code_ine_7","ATG","Antigua y Barbuda"
"__export__.code_ine_8","ANT","Antillas Neerlandesas"
"__export__.code_ine_9","ATA","Antártida"
"__export__.code_ine_10","SAU","Arabia Saudita"
"__export__.code_ine_11","DZA","Argelia"
"__export__.code_ine_12","ARG","Argentina"
"__export__.code_ine_13","ARM","Armenia"
"__export__.code_ine_14","ABW","Aruba"
"__export__.code_ine_15","AUS","Australia"
"__export__.code_ine_16","AUT","Austria"
"__export__.code_ine_17","AZE","Azerbaiyán"
"__export__.code_ine_18","BHS","Bahamas"
"__export__.code_ine_19","BHR","Bahrein"
"__export__.code_ine_20","BGD","Bangladesh"
"__export__.code_ine_21","BRB","Barbados"
"__export__.code_ine_22","BLZ","Belice"
"__export__.code_ine_23","BEN","Benin"
"__export__.code_ine_24","BMU","Bermudas"
"__export__.code_ine_25","BTN","Bhután"
"__export__.code_ine_26","BLR","Bielorrusia"
"__export__.code_ine_27","BOL","Bolivia"
"__export__.code_ine_28","BIH","Bosnia-Herzegovina"
"__export__.code_ine_29","BWA","Botswana"
"__export__.code_ine_30","BRA","Brasil"
"__export__.code_ine_31","BRN","Brunéi"
"__export__.code_ine_32","BGR","Bulgaria"
"__export__.code_ine_33","BFA","Burkina Fasso"
"__export__.code_ine_34","BDI","Burundi"
"__export__.code_ine_35","BEL","Bélgica"
"__export__.code_ine_36","CPV","Cabo Verde"
"__export__.code_ine_37","KHM","Camboya"
"__export__.code_ine_38","CMR","Camerún"
"__export__.code_ine_39","CAN","Canadá"
"__export__.code_ine_40","TCD","Chad"
"__export__.code_ine_41","CHL","Chile"
"__export__.code_ine_42","CHN","China"
"__export__.code_ine_43","CYP","Chipre"
"__export__.code_ine_44","COL","Colombia"
"__export__.code_ine_45","COM","Comoras"
"__export__.code_ine_46","COG","Congo, República del"
"__export__.code_ine_47","COD","Congo, República Democrática del"
"__export__.code_ine_48","PRK","Corea, Rep. Popular Democrática"
"__export__.code_ine_49","KOR","Corea, República de"
"__export__.code_ine_50","CIV","Costa de Marfil"
"__export__.code_ine_51","CRI","Costa Rica"
"__export__.code_ine_52","HRV","Croacia"
"__export__.code_ine_53","CUB","Cuba"
"__export__.code_ine_54","DNK","Dinamarca"
"__export__.code_ine_55","DMA","Dominica"
"__export__.code_ine_56","ECU","Ecuador"
"__export__.code_ine_57","EGY","Egipto"
"__export__.code_ine_58","SLV","El Salvador"
"__export__.code_ine_59","ARE","Emiratos Arabes Unidos"
"__export__.code_ine_60","ERI","Eritrea"
"__export__.code_ine_61","SVK","Eslovaquia"
"__export__.code_ine_62","SVN","Eslovenia"
"__export__.code_ine_63","USA","Estados Unidos de América"
"__export__.code_ine_64","EST","Estonia"
"__export__.code_ine_65","ETH","Etiopía"
"__export__.code_ine_66","PHL","Filipinas"
"__export__.code_ine_67","FIN","Finlandia"
"__export__.code_ine_68","FRA","Francia"
"__export__.code_ine_69","GAB","Gabón"
"__export__.code_ine_70","GMB","Gambia"
"__export__.code_ine_71","GEO","Georgia"
"__export__.code_ine_72","GHA","Ghana"
"__export__.code_ine_73","GIB","Gibraltar"
"__export__.code_ine_74","GRD","Granada"
"__export__.code_ine_75","GRC","Grecia"
"__export__.code_ine_76","GRL","Groenlandia"
"__export__.code_ine_77","GLP","Guadalupe"
"__export__.code_ine_78","GUM","Guam"
"__export__.code_ine_79","GTM","Guatemala"
"__export__.code_ine_80","GUF","Guayana Francesa"
"__export__.code_ine_81","GIN","Guinea"
"__export__.code_ine_82","GNQ","Guinea Ecuatorial"
"__export__.code_ine_83","GNB","Guinea-Bissau"
"__export__.code_ine_84","GUY","Guyana"
"__export__.code_ine_85","HTI","Haití"
"__export__.code_ine_86","HND","Honduras"
"__export__.code_ine_87","HKG","Hong-Kong"
"__export__.code_ine_88","HUN","Hungría"
"__export__.code_ine_89","IND","India"
"__export__.code_ine_90","IDN","Indonesia"
"__export__.code_ine_91","IRQ","Irak"
"__export__.code_ine_92","IRL","Irlanda"
"__export__.code_ine_93","IRN","Irán"
"__export__.code_ine_94","BVT","Isla Bouvert"
"__export__.code_ine_95","GGY","Isla de Guernesey"
"__export__.code_ine_96","JEY","Isla de Jersey"
"__export__.code_ine_97","IMN","Isla de Man"
"__export__.code_ine_98","CXR","Isla de Navidad"
"__export__.code_ine_99","ISL","Islandia"
"__export__.code_ine_100","CYM","Islas Caimán"
"__export__.code_ine_101","CCK","Islas Cocos"
"__export__.code_ine_102","COK","Islas Cook"
"__export__.code_ine_103","FLK","Islas Falkland (Malvinas)"
"__export__.code_ine_104","FRO","Islas Feroé"
"__export__.code_ine_105","FJI","Islas Fidji"
"__export__.code_ine_106","SGS","Islas Georgias del Sur y Sandwich"
"__export__.code_ine_107","HMD","Islas Heard e Mcdonald"
"__export__.code_ine_108","MNP","Islas Marianas del Norte"
"__export__.code_ine_109","MHL","Islas Marshall"
"__export__.code_ine_110","UMI","Islas Menores de EEUU"
"__export__.code_ine_111","NFK","Islas Norfolk"
"__export__.code_ine_112","PCN","Islas Pitcairn"
"__export__.code_ine_113","SLB","Islas Salomón"
"__export__.code_ine_114","TCA","Islas Turcas y Caicos"
"__export__.code_ine_115","VGB","Islas Vírgenes Británicas"
"__export__.code_ine_116","VIR","Islas Vírgenes de los EEUU"
"__export__.code_ine_117","WLF","Islas Wallis y Futura"
"__export__.code_ine_118","ALA","Islas Åland"
"__export__.code_ine_119","ISR","Israel"
"__export__.code_ine_120","ITA","Italia"
"__export__.code_ine_121","JAM","Jamaica"
"__export__.code_ine_122","JPN","Japón"
"__export__.code_ine_123","JOR","Jordania"
"__export__.code_ine_124","KAZ","Kazajstán"
"__export__.code_ine_125","KEN","Kenia"
"__export__.code_ine_126","KGZ","Kirguistán"
"__export__.code_ine_127","KIR","Kiribati"
"__export__.code_ine_128","KWT","Kuwait"
"__export__.code_ine_129","LAO","Laos"
"__export__.code_ine_130","LSO","Lesotho"
"__export__.code_ine_131","LVA","Letonia"
"__export__.code_ine_132","LBY","Libia"
"__export__.code_ine_133","LBR","Libéria"
"__export__.code_ine_134","LIE","Liechtenstein"
"__export__.code_ine_135","LTU","Lituania"
"__export__.code_ine_136","LUX","Luxemburgo"
"__export__.code_ine_137","LBN","Líbano"
"__export__.code_ine_138","MAC","Macao"
"__export__.code_ine_139","MKD","Macedonia, ARY"
"__export__.code_ine_140","MDG","Madagascar"
"__export__.code_ine_141","MYS","Malasia"
"__export__.code_ine_142","MWI","Malawi"
"__export__.code_ine_143","MDV","Maldivas"
"__export__.code_ine_144","MLT","Malta"
"__export__.code_ine_145","MLI","Malí"
"__export__.code_ine_146","MAR","Marruecos"
"__export__.code_ine_147","MTQ","Martinica"
"__export__.code_ine_148","MUS","Mauricio"
"__export__.code_ine_149","MRT","Mauritania"
"__export__.code_ine_150","MYT","Mayotte"
"__export__.code_ine_151","FSM","Micronesia"
"__export__.code_ine_152","MDA","Moldavia"
"__export__.code_ine_153","MNG","Mongolia"
"__export__.code_ine_154","MNE","Montenegro"
"__export__.code_ine_155","MSR","Montserrat"
"__export__.code_ine_156","MOZ","Mozambique"
"__export__.code_ine_157","MMR","Myanmar"
"__export__.code_ine_158","MEX","México"
"__export__.code_ine_159","MCO","Mónaco"
"__export__.code_ine_160","NAM","Namibia"
"__export__.code_ine_161","NRU","Naurú"
"__export__.code_ine_162","NPL","Nepal"
"__export__.code_ine_163","NIC","Nicaragua"
"__export__.code_ine_164","NGA","Nigeria"
"__export__.code_ine_165","NIU","Niue"
"__export__.code_ine_166","NOR","Noruega"
"__export__.code_ine_167","NCL","Nueva Caledonia"
